Round 9: [14:01:02,14:01:13],[-93.76267250582639,-0.30018462947465707],-1,false
9,07,129.132.201.147,ijaziojhh0k9,12:54:12,13:23:15
Round 0: [13:57:29,13:57:42],[157.60875875179815,-128.3636990715008],-1,false
Round 1: [13:57:57,13:58:00],[-128.1865562299277,-54.159014053226656],-1,false
Round 2: [13:58:18,13:58:23],[-63.849179033035206,10.178363143665841],-1,false
Round 3: [13:58:41,13:58:45],[-67.26142813231162,6.766114044389425],-1,false
Round 4: [13:59:06,13:59:10],[-64.87174682568048,9.155795351020572],-1,false
Round 5: [13:59:25,13:59:33],[-74.054623918303,-0.027081741601946874],-1,false
Round 6: [13:59:48,13:59:55],[-74.07853585020378,-0.050993673502730985],-1,false
Round 7: [14:00:10,14:00:16],[-74.0936004047006,-0.06605822799954808],-1,false
Round 8: [14:00:31,14:00:36],[-74.08455179346957,-0.05700961676852501],-1,false
Round 9: [14:01:03,14:01:09],[-74.1047216792518,-0.07717950255074868],-1,false
10,Martinalarahuser,129.132.201.156,vi90nzdgf1or,12:54:12,13:23:56
Round 0: [13:57:27,13:57:31],[134.7695365103548,9.761139933103294],-1,false
Round 1: [13:57:55,13:57:59],[141.01103035908028,16.002633781828763],-1,false
Round 2: [13:58:20,13:58:22],[136.72752248840013,11.719125911148609],-1,false
Round 3: [13:58:40,13:58:50],[147.2682397323419,22.25984315509038],-1,false
Round 4: [13:59:05,13:59:09],[128.6299941834515,3.6215976061999697],-1,false
Round 5: [13:59:27,13:59:29],[122.70436058083463,-2.3040359964168857],-1,false
Round 6: [13:59:47,13:59:50],[126.0223595403732,1.0139629631216849],-1,false
Round 7: [14:00:09,14:00:12],[128.96414369049646,3.9557471132449393],-1,false
Round 8: [14:00:30,14:00:36],[133.17675052688926,8.168353949637748],-1,false
Round 9: [14:01:01,14:01:06],[121.55999771981875,-3.448398857432764],-1,false
11,12,129.132.201.152,ypc77w0orbe29,12:54:12,13:23:35
Round 0: [13:57:27,13:57:31],[-136.61271532322817,-15.937278444092343],-1,false
Round 1: [13:57:55,13:58:01],[-136.68137737754557,-16.005940498409743],-1,false
Round 2: [13:58:19,13:58:26],[-152.12820437245293,-31.452767493317097],-1,false
