0,Sesadfsd,129.132.201.143,sficoyjy8pvi,13:43:30,13:43:47
Round 1: [13:49:56,13:49:58],[-15.404280424118042,60.549111186454866],-1,true
Round 2: [13:50:04,13:50:06],[-12.21334327943623,63.74004833113668],-1,true
Round 3: [13:50:18,13:50:20],[-131.82448354549706,-55.87109193492415],-1,true
Round 4: [13:50:26,13:50:28],[-156.0024442523718,-80.04905264179888],-1,true
Round 5: [13:50:34,13:50:36],[-142.74631191976368,-66.79292030919078],-1,true
Round 6: [13:50:45,13:50:47],[139.21253146603703,-144.83407692339006],-1,true
Round 7: [13:50:50,13:50:52],[142.73699124343693,-141.30961714599016],-1,true
Round 8: [13:50:58,13:51:00],[122.73684483021498,-161.30976355921212],-1,true
Round 9: [13:51:03,13:51:05],[-131.77668632939458,-55.82329471882167],-1,true
5,Fuck21,129.132.201.151,ehk10uqo4unmi,13:43:30,13:44:39
Round 0: [13:49:45,13:49:47],[-151.6512893512845,120.50766279784753],-1,true
Round 1: [13:49:56,13:49:58],[134.42577727138996,46.584729420521995],-1,true
Round 2: [13:50:04,13:50:06],[83.18463698029518,-4.656410870572785],-1,true
Round 3: [13:50:18,13:50:20],[99.39689515158534,11.555847300717375],-1,true
Round 4: [13:50:26,13:50:28],[-98.67825273424387,173.48069941488816],-1,true
Round 5: [13:50:34,13:50:36],[-173.31838516518474,98.84056698394727],-1,true
Round 6: [13:50:45,13:50:47],[-30.32037265598774,-118.1614205068557],-1,true
Round 7: [13:50:50,13:50:52],[-118.21611271239817,153.94283943673386],-1,true
Round 8: [13:50:58,13:51:00],[147.02906697057188,59.18801911970391],-1,true
Round 9: [13:51:03,13:51:05],[140.7385283522308,52.89748050136282],-1,true
6,Asd,129.132.201.153,cmqg5ckz3q5mi,13:43:30,13:44:39
Round 0: [13:49:45,13:49:47],[84.01359387673438,14.152385730932181],-1,true
Round 1: [13:49:56,13:49:58],[-7.865220196545124,-77.72642834234732],-1,true
Round 2: [13:50:04,13:50:06],[118.87864038348198,49.017432237679785],-1,true
Round 3: [13:50:18,13:50:20],[-128.32108413800597,161.81770771619182],-1,true
Round 4: [13:50:26,13:50:28],[175.7058180682361,105.84460992243392],-1,true
Round 5: [13:50:34,13:50:36],[94.27430022507906,24.413092079276865],-1,true
Round 6: [13:50:45,13:50:47],[-124.23430913127959,165.9044827229182],-1,true
Round 7: [13:50:50,13:50:52],[78.08034712448716,8.219138978684967],-1,true
Round 8: [13:50:58,13:51:00],[142.89906556718051,73.03785742137832],-1,true
