0,Cs,129.132.201.150,m0vb4v5yfzuxr,15:00:46,15:01:05
Round 2: [15:36:42,15:36:45],[39.78996233090078,-1.8297296109092542],-1,false
Round 3: [15:37:03,15:37:07],[46.980722217975895,5.361030276165863],-1,false
Round 4: [15:37:28,15:37:34],[44.244039575155846,2.6243476333458133],-1,false
Round 5: [15:37:55,15:38:00],[42.86349532007852,1.2438033782684883],-1,false
Round 6: [15:38:12,15:38:18],[41.52697047320805,-0.0927214686019795],-1,false
Round 7: [15:38:48,15:38:51],[40.588495402525645,-1.0311965392843874],-1,false
Round 8: [15:39:13,15:39:17],[41.26029275832194,-0.35939918348809385],-1,false
Round 9: [15:39:35,15:39:44],[41.52183248113926,-0.09785946067076878],-1,false
12,Hvega,129.132.201.157,q7jyvce67ds4i,15:00:47,15:01:23
Round 0: [15:35:37,15:35:40],[136.66033119940275,68.58296979279075],-1,false
Round 1: [15:36:10,15:36:12],[110.1213190571405,42.0439576505285],-1,false
Round 2: [15:36:39,15:36:45],[163.4475836982215,95.37022229160951],-1,false
Round 3: [15:37:03,15:37:06],[-142.19915680538568,149.72348178800232],-1,false
Round 4: [15:37:27,15:37:29],[-98.4622450549115,-166.5396064615235],-1,false
Round 5: [15:37:56,15:37:58],[79.75869223767862,11.681330831066617],-1,false
Round 6: [15:38:13,15:38:19],[42.612240403546295,-25.465121003065704],-1,false
Round 7: [15:38:46,15:38:48],[117.11122932985079,49.03386792323879],-1,false
Round 8: [15:39:12,15:39:15],[-3.146993176976316,-71.22435458358831],-1,false
Round 9: [15:39:36,15:39:40],[171.62371092933682,103.54634952272482],-1,false
13,Anna,129.132.201.154,czjqdmdoswcdi,15:00:47,15:01:10
Round 0: [15:35:37,15:35:42],[-28.430184430306106,-9.887646433199265],-1,false
Round 1: [15:36:09,15:36:13],[-65.58054681802304,-47.0380088209162],-1,false
Round 2: [15:36:41,15:36:45],[-16.315241469351736,2.2272965277551044],-1,false
Round 3: [15:37:03,15:37:09],[-2.079314384506201,16.46322361260064],-1,false
Round 4: [15:37:27,15:37:33],[-40.10324101744331,-21.56070302033647],-1,false
Round 5: [15:37:57,15:38:07],[-14.265470806858316,4.277067190248525],-1,false
Round 6: [15:38:13,15:38:21],[3.508471337475928,22.05100933458277],-1,false
Round 7: [15:38:48,15:38:52],[-30.850168101563238,-12.307630104456397],-1,false
Round 8: [15:39:13,15:39:22],[-41.56293475677748,-23.02039675967064],-1,false
Round 9: [15:39:34,15:39:38],[-24.483445636741322,-5.9409076396344815],-1,false
14,Mne,129.132.201.147,i6pkwq4a38fr,15:00:47,15:01:29
Round 0: [15:35:38,15:35:44],[93.43911477490077,136.49672335556457],-1,false
Round 1: [15:36:08,15:36:11],[5.4875440933537405,48.54515267401754],-1,false
Round 2: [15:36:41,15:36:44],[-176.85188933336104,-133.79428075269726],-1,false
Round 3: [15:37:02,15:37:06],[-29.8578993644291,13.199709216234695],-1,false
Round 4: [15:37:27,15:37:29],[17.10271324236865,60.16032182303245],-1,false
Round 5: [15:37:57,15:37:59],[-21.296365429363984,21.761243151299812],-1,false
Round 6: [15:38:14,15:38:17],[-28.11910792069987,14.938500659963925],-1,false
Round 7: [15:38:47,15:38:50],[-19.568293758866044,23.489314821797752],-1,false
Round 8: [15:39:11,15:39:13],[-8.731692713796926,34.32591586686687],-1,false
Round 9: [15:39:34,15:39:38],[45.38394535695606,88.44155393761986],-1,false
15,09,129.132.201.149,feza12u766r,15:00:47,15:01:44
Round 0: [15:35:37,15:35:44],[43.54692533006219,-52.769254219928946],-1,false
Round 1: [15:36:08,15:36:17],[144.73002110523984,48.41384155524871],-1,false
Round 2: [15:36:41,15:36:43],[66.16864896153994,-30.14753058845119],-1,false
Round 3: [15:37:04,15:37:07],[17.695676717964922,-78.6205028320262],-1,false
Round 4: [15:37:28,15:37:32],[69.51671280933564,-26.79946674065549],-1,false
Round 5: [15:37:56,15:37:59],[93.63769259898321,-2.678486951007926],-1,false
Round 6: [15:38:12,15:38:22],[101.77060919306088,5.454429643069744],-1,false
Round 7: [15:38:46,15:38:51],[106.67568828537598,10.35950873538485],-1,false
Round 8: [15:39:13,15:39:20],[98.01197055553784,1.6957910055467096],-1,false
Round 9: [15:39:35,15:39:40],[96.05586028664305,-0.2603192633480802],-1,false
16,Bluemonkey,129.132.201.159,vk48vcnlsdcxr,15:00:47,15:01:43
Round 0: [15:35:38,15:35:38],[-91.39569678519497,176.00826936681784],-1,false
Round 1: [15:36:09,15:36:11],[-91.41822301940014,175.98574313261267],-1,false
Round 2: [15:36:41,15:36:44],[-91.41822301940014,175.98574313261267],-1,false
Round 3: [15:37:02,15:37:04],[-91.41822301940014,175.98574313261267],-1,false
Round 4: [15:37:28,15:37:38],[-91.42844526041011,175.97552089160268],-1,false
Round 5: [15:37:56,15:37:59],[-142.64757430795916,124.75639184405367],-1,false
Round 6: [15:38:14,15:38:28],[177.39171592691378,84.79568207892659],-1,false
Round 7: [15:38:49,15:38:53],[149.2358380515608,56.639804203573604],-1,false
Round 8: [15:39:11,15:39:14],[87.53479352316386,-5.061240324823331],-1,false
Round 9: [15:39:35,15:39:38],[57.28555524551584,-35.31047860247135],-1,false
17,Mibe,129.132.201.156,rvg9zzdea5rk9,15:00:47,15:01:44
Round 0: [15:35:37,15:35:50],[-122.03657625661694,-4.29509218281747],-1,false
Round 1: [15:36:11,15:36:17],[-122.01666995886964,-4.275185885070172],-1,false
Round 2: [15:36:41,15:36:46],[-82.1860257097303,35.55545836406917],-1,false
Round 3: [15:37:04,15:37:07],[-138.59023700963192,-20.84875293583245],-1,false
Round 4: [15:37:28,15:37:33],[-118.95547563855833,-1.2139915647588566],-1,false
Round 5: [15:37:54,15:38:00],[-118.98271310062304,-1.241229026823575],-1,false
Round 6: [15:38:12,15:38:21],[-123.30087294988849,-5.559388876089017],-1,false
Round 7: [15:38:48,15:38:51],[-111.19422925375045,6.5472548200490195],-1,false
Round 8: [15:39:12,15:39:16],[-115.93909587984425,1.802388193955224],-1,false
Round 9: [15:39:34,15:39:37],[-122.86107241167983,-5.119588337880359],-1,false
18,Lalala,129.132.201.155,5635nqxtotj4i,15:00:47,15:01:14
Round 0: [15:35:39,15:35:45],[122.49011957563698,137.4799604212638],-1,false
Round 1: [15:36:09,15:36:15],[-49.987601132807704,-34.997760287180895],-1,false
